NodesNumber;Density;Time
1200;0.25;194391
1200;0.25;195903
1200;0.25;194957
1200;0.25;194513
1200;0.25;195384
1200;0.25;195531
1200;0.25;194728
1200;0.25;194832
1200;0.25;196432
1200;0.25;195564
1200;0.25;195308
1200;0.25;194744
1200;0.25;194328
1200;0.25;195710
1200;0.25;196159
1200;0.25;195211
1200;0.25;195316
1200;0.25;195597
1200;0.25;201282
1200;0.25;195895
1200;0.25;193429
1200;0.25;194876
1200;0.25;194205
1200;0.25;195922
1200;0.25;194944
1200;0.25;193843
1200;0.25;195078
1200;0.25;195825
1200;0.25;195212
1200;0.25;194964
1200;0.25;195293
1200;0.25;195116
1200;0.25;195540
1200;0.5;392437
1200;0.5;390698
1200;0.5;391425
1200;0.5;393096
1200;0.5;392174
1200;0.5;393710
1200;0.5;393036
1200;0.5;393415
1200;0.5;392698
1200;0.5;394563
1200;0.5;393226
1200;0.5;391638
1200;0.5;394483
1200;0.5;394528
1200;0.5;393511
1200;0.5;392993
1200;0.5;394276
1200;0.5;394660
1200;0.5;392664
1200;0.5;391742
1200;0.5;393935
1200;0.5;392582
1200;0.5;392854
1200;0.5;393912
1200;0.5;392980
1200;0.5;392629
1200;0.5;392183
1200;0.5;393936
1200;0.5;392151
1200;0.5;392963
1200;0.5;392741
1200;0.5;392734
1200;0.5;394088
1200;0.5;394589
1200;0.5;393190
1200;0.5;392739
1200;0.5;392055
1200;0.5;393628
1200;0.5;392082
1200;0.5;392828
1200;0.5;393426
1200;0.5;392081
1200;0.5;392941
1200;0.5;392605
1200;0.5;394894
1200;0.5;394899
1200;0.5;393614
1200;0.5;393301
1200;0.5;392421
1200;0.5;395064
1200;0.75;588531
1200;0.75;587710
1200;0.75;589984
1200;0.75;591297
1200;0.75;589457
1200;0.75;585799
1200;0.75;585083
1200;0.75;588154
1200;0.75;588509
1200;0.75;587893
1200;0.75;589593
1200;0.75;590056
1200;0.75;585212
1200;0.75;589724
1200;0.75;587000
1200;0.75;587909
1200;0.75;588087
1200;0.75;589122
1200;0.75;585425
1200;0.75;585234
1200;0.75;586832
1200;0.75;588819
1200;0.75;588040
1200;0.75;589937
1200;0.75;589338
1200;0.75;589420
1200;0.75;590293
1200;0.75;590750
1200;0.75;591609
1200;0.75;588630
1200;0.75;589010
1200;0.75;588032
1200;0.75;584556
1200;0.75;587721
1200;0.75;589729
1200;0.75;587594
1200;0.75;587251
1200;0.75;588007
1200;0.75;585606
1200;0.75;587274
1200;0.75;589642
1200;0.75;596454
1200;0.75;589665
1200;0.75;587736
1200;0.75;585674
1200;0.75;586404
1200;0.75;588376
1200;0.75;587575
1200;0.75;587126
1200;0.75;589382
1200;0.99;781386
1200;0.99;781706
1200;0.99;783122
1200;0.99;780989
1200;0.99;781768
1200;0.99;781618
1200;0.99;782938
1200;0.99;783151
1200;0.99;783197
1200;0.99;781906
1200;0.99;783041
1200;0.99;783267
1200;0.99;783469
1200;0.99;783854
1200;0.99;783044
1200;0.99;779263
1200;0.99;779556
1200;0.99;783255
1200;0.99;781405
1200;0.99;783822
1200;0.99;780334
1200;0.99;784418
1200;0.99;788390
1200;0.99;785534
1200;0.99;784849
1200;0.99;783442
1200;0.99;779598
1200;0.99;785455
1200;0.99;785375
1200;0.99;783306
1200;0.99;785491
1200;0.99;781872
1200;0.99;784253
1200;0.99;780867
1200;0.99;778890
1200;0.99;779265
1200;0.99;777283
1200;0.99;783895
1200;0.99;788895
1200;0.99;784573
1200;0.99;780630
1200;0.99;781317
1200;0.99;784213
1200;0.99;783060
1200;0.99;779405
1200;0.99;778551
1200;0.99;779483
1200;0.99;781230
1200;0.99;781990
1200;0.99;781886
1400;0.25;296314
1400;0.25;293760
1400;0.25;294191
1400;0.25;295894
1400;0.25;295575
1400;0.25;294998
1400;0.25;294884
1400;0.25;296415
1400;0.25;293252
1400;0.25;296205
1400;0.25;295548
1400;0.25;295096
1400;0.25;293129
1400;0.25;293906
1400;0.25;293889
1400;0.25;293430
1400;0.25;294696
1400;0.25;294244
1400;0.25;294663
1400;0.25;294437
1400;0.25;292334
1400;0.25;296450
1400;0.25;293447
1400;0.25;295773
1400;0.25;296141
1400;0.25;294622
1400;0.25;293559
1400;0.25;293701
1400;0.25;295104
1400;0.25;295406
1400;0.25;294892
1400;0.25;296176
1400;0.25;295414
1400;0.25;296589
1400;0.25;297089
1400;0.25;296192
1400;0.25;294892
1400;0.25;296735
1400;0.25;296327
1400;0.25;295423
1400;0.25;295423
1400;0.25;295402
1400;0.25;295776
1400;0.25;293331
1400;0.25;294854
1400;0.25;296601
1400;0.25;296374
1400;0.25;294123
1400;0.25;294728
1400;0.25;295037
1400;0.5;594050
1400;0.5;593779
1400;0.5;592230
1400;0.5;592333
1400;0.5;591946
1400;0.5;594846
1400;0.5;594045
1400;0.5;596880
1400;0.5;592234
1400;0.5;593119
1400;0.5;592061
1400;0.5;590406
1400;0.5;590738
1400;0.5;592038
1400;0.5;598217
1400;0.5;593982
1400;0.5;593317
1400;0.5;592961
1400;0.5;593246
1400;0.5;594136
1400;0.5;593886
1400;0.5;593430
1400;0.5;598109
1400;0.5;591100
1400;0.5;593251
1400;0.5;593616
1400;0.5;594086
1400;0.5;592576
1400;0.5;590496
1400;0.5;594922
1400;0.5;594835
1400;0.5;594365
1400;0.5;593416
1400;0.5;594133
1400;0.5;592074
1400;0.5;592426
1400;0.5;589387
1400;0.5;591667
1400;0.5;593520
1400;0.5;594328
1400;0.5;595964
1400;0.5;594126
1400;0.5;594025
1400;0.5;593392
1400;0.5;593518
1400;0.5;594147
1400;0.5;595371
1400;0.5;593127
1400;0.5;594271
1400;0.5;594063
1400;0.75;894361
1400;0.75;896399
1400;0.75;896609
1400;0.75;892334
1400;0.75;893515
1400;0.75;894960
1400;0.75;895452
1400;0.75;890840
1400;0.75;896849
1400;0.75;893533
1400;0.75;896282
1400;0.75;900355
1400;0.75;895446
1400;0.75;897707
1400;0.75;894223
1400;0.75;889282
1400;0.75;895089
1400;0.75;896821
1400;0.75;892672
1400;0.75;896489
1400;0.75;895927
1400;0.75;899951
1400;0.75;898511
1400;0.75;893181
1400;0.75;890082
1400;0.75;899264
1400;0.75;897262
1400;0.75;899502
1400;0.75;896347
1400;0.75;909338
1400;0.75;896315
1400;0.75;896421
1400;0.75;898539
1400;0.75;897063
1400;0.75;920342
1400;0.75;894423
1400;0.75;894543
1400;0.75;896344
1400;0.75;895707
1400;0.75;893346
1400;0.75;894310
1400;0.75;895513
1400;0.75;898887
1400;0.75;896401
1400;0.75;894436
