NodesNumber;Density;Time
1200;0.75;16520629
1200;0.75;16511161
1200;0.75;16542850
1200;0.75;16433745
1200;0.75;16449113
1200;0.75;16413929
1200;0.75;16412920
1200;0.75;16360812
1200;0.75;16362421
1200;0.75;16387687
1200;0.75;16352951
1200;0.75;16383141
1200;0.75;16397762
1200;0.75;16371290
1200;0.75;16371124
1200;0.75;16376069
1200;0.75;16411155
1200;0.75;16461598
1200;0.75;16420731
1200;0.75;16477550
1200;0.75;16518413
1200;0.75;16524963
1200;0.75;16537398
1200;0.75;16578036
1200;0.75;16540873
1200;0.75;16561471
1200;0.75;16511582
1200;0.75;16520821
1200;0.75;16512439
1200;0.75;16459733
1200;0.75;16426299
1200;0.75;16418087
1200;0.99;21690282
1200;0.99;21641719
1200;0.99;21664193
1200;0.99;21645674
1200;0.99;21695911
1200;0.99;21683594
1200;0.99;21697558
1200;0.99;21671092
1200;0.99;21795676
1200;0.99;21752185
1200;0.99;21863008
1200;0.99;21880729
1200;0.99;21876178
1200;0.99;21884261
1200;0.99;21913200
1200;0.99;21870528
1200;0.99;21835749
1200;0.99;21825581
1200;0.99;21742537
1200;0.99;21717945
1200;0.99;21642967
1200;0.99;21661340
1200;0.99;21669099
1200;0.99;21690178
1200;0.99;21676693
1200;0.99;21658701
1200;0.99;21650285
1200;0.99;21755570
1200;0.99;21880139
1200;0.99;21749746
1200;0.99;21896826
1200;0.99;21854676
1200;0.99;21872666
1200;0.99;21989989
1200;0.99;21949975
1200;0.99;21862211
1200;0.99;21849773
1200;0.99;21772133
1200;0.99;21709511
1200;0.99;21711611
1200;0.99;21649909
1200;0.99;21665277
1200;0.99;21678265
1200;0.99;21708094
1200;0.99;21668151
1200;0.99;21685915
1200;0.99;21687849
1200;0.99;21807839
1200;0.99;21776967
1200;0.99;21806104
1400;0.25;6437515
1400;0.25;6423228
1400;0.25;6414459
1400;0.25;6416538
1400;0.25;6422604
1400;0.25;6420253
1400;0.25;6450943
1400;0.25;6453974
1400;0.25;6435339
1400;0.25;6433581
1400;0.25;6431224
1400;0.25;6434179
1400;0.25;6432011
1400;0.25;6440427
1400;0.25;6443227
1400;0.25;6446093
1400;0.25;6448491
1400;0.25;6459293
1400;0.25;6466635
1400;0.25;6442757
1400;0.25;6442989
1400;0.25;6457614
1400;0.25;6406161
1400;0.25;6404459
1400;0.25;6429779
1400;0.25;6402725
1400;0.25;6422779
1400;0.25;6411712
1400;0.25;6429707
1400;0.25;6414643
1400;0.25;6388912
1400;0.25;6392382
1400;0.25;6371850
1400;0.25;6388112
1400;0.25;6387902
1400;0.25;6410759
1400;0.25;6396356
1400;0.25;6391291
1400;0.25;6390087
1400;0.25;6382774
1400;0.25;6386896
1400;0.25;6397376
1400;0.25;6400408
1400;0.25;6381612
1400;0.25;6384651
1400;0.25;6394586
1400;0.25;6390120
1400;0.25;6401606
1400;0.25;6440574
1400;0.25;6408223
1400;0.5;17459406
1400;0.5;17471972
1400;0.5;17540181
1400;0.5;17555938
1400;0.5;17523500
1400;0.5;17595420
1400;0.5;17634946
1400;0.5;17602891
1400;0.5;17660731
1400;0.5;17636210
1400;0.5;17672378
1400;0.5;17597845
1400;0.5;17598971
1400;0.5;17594427
1400;0.5;17563028
1400;0.5;17529238
1400;0.5;17519612
1400;0.5;17478503
1400;0.5;17443374
1400;0.5;17481019
1400;0.5;17449666
1400;0.5;17461569
1400;0.5;17458981
1400;0.5;17471405
1400;0.5;17476843
1400;0.5;17416577
1400;0.5;17499305
1400;0.5;17567239
1400;0.5;17518061
1400;0.5;17589198
